epoch,accuracy,loss,precision_13,recall_13,val_accuracy,val_loss,val_precision_13,val_recall_13
0,0.5174418687820435,0.6933168768882751,0.5789473652839661,0.6534653306007385,0.5227272510528564,0.6915168166160583,0.5227272510528564,1.0
1,0.5872092843055725,0.6865044832229614,0.5872092843055725,1.0,0.5227272510528564,0.6902163624763489,0.5227272510528564,1.0
2,0.5872092843055725,0.6803264021873474,0.5872092843055725,1.0,0.5227272510528564,0.6896180510520935,0.5227272510528564,1.0
3,0.5872092843055725,0.6708869338035583,0.5872092843055725,1.0,0.5227272510528564,0.6907228827476501,0.5227272510528564,1.0
4,0.5872092843055725,0.656586766242981,0.5872092843055725,1.0,0.5227272510528564,0.6923403143882751,0.5227272510528564,1.0
5,0.5872092843055725,0.6449320316314697,0.5872092843055725,1.0,0.5227272510528564,0.6974412798881531,0.5227272510528564,1.0
6,0.5872092843055725,0.6135932803153992,0.5872092843055725,1.0,0.5227272510528564,0.679215669631958,0.5227272510528564,1.0
7,0.7209302186965942,0.575458824634552,0.6778523325920105,1.0,0.5454545617103577,0.6676598787307739,0.5348837375640869,1.0
8,0.7848837375640869,0.5047098398208618,0.7318840622901917,1.0,0.5454545617103577,0.704443097114563,0.5348837375640869,1.0
9,0.8604651093482971,0.4190056324005127,0.8080000281333923,1.0,0.6818181872367859,0.6646435260772705,0.6285714507102966,0.95652174949646
